match_id,season,round,match_date,venue,home_team,away_team,home_score,away_score,crowd,margin,result,home_win
20070527_PortAdelaidePower,2007,9,2007-05-27,AAMI Stadium,Port Adelaide Power,Geelong Cats,60,116,26465.0,-56,A,0.0
20070527_MelbourneDemons,2007,9,2007-05-27,Melbourne Cricket Ground,Melbourne Demons,North Melbourne Kangaroos,78,79,30662.0,-1,A,0.0
20070601_CollingwoodMagpies,2007,10,2007-06-01,Melbourne Cricket Ground,Collingwood Magpies,Fremantle Dockers,103,94,44480.0,9,H,1.0
20070602_SydneySwans,2007,10,2007-06-02,Sydney Cricket Ground,Sydney Swans,Essendon Bombers,73,74,26647.0,-1,A,0.0
20070602_RichmondTigers,2007,10,2007-06-02,Marvel Stadium,Richmond Tigers,Brisbane Lions,73,73,28093.0,0,D,
20070602_MelbourneDemons,2007,10,2007-06-02,Melbourne Cricket Ground,Melbourne Demons,Adelaide Crows,89,72,23657.0,17,H,1.0
20070602_WestCoastEagles,2007,10,2007-06-02,Domain Stadium,West Coast Eagles,North Melbourne Kangaroos,121,55,40751.0,66,H,1.0
20070603_StKildaSaints,2007,10,2007-06-03,Marvel Stadium,St Kilda Saints,Geelong Cats,65,125,42188.0,-60,A,0.0
20070603_CarltonBlues,2007,10,2007-06-03,Melbourne Cricket Ground,Carlton Blues,Western Bulldogs,138,128,37535.0,10,H,1.0
20070603_PortAdelaidePower,2007,10,2007-06-03,AAMI Stadium,Port Adelaide Power,Hawthorn Hawks,75,109,23945.0,-34,A,0.0
20070608_EssendonBombers,2007,11,2007-06-08,Marvel Stadium,Essendon Bombers,West Coast Eagles,95,94,48913.0,1,H,1.0
20070609_CarltonBlues,2007,11,2007-06-09,Marvel Stadium,Carlton Blues,Port Adelaide Power,141,102,29678.0,39,H,1.0
20070609_HawthornHawks,2007,11,2007-06-09,Melbourne Cricket Ground,Hawthorn Hawks,Sydney Swans,66,75,48398.0,-9,A,0.0
20070609_BrisbaneLions,2007,11,2007-06-09,The Gabba,Brisbane Lions,Western Bulldogs,72,95,29873.0,-23,A,0.0
20070610_StKildaSaints,2007,11,2007-06-10,Marvel Stadium,St Kilda Saints,North Melbourne Kangaroos,58,80,34569.0,-22,A,0.0
20070610_AdelaideCrows,2007,11,2007-06-10,AAMI Stadium,Adelaide Crows,Geelong Cats,62,69,43108.0,-7,A,0.0
20070610_FremantleDockers,2007,11,2007-06-10,Domain Stadium,Fremantle Dockers,Richmond Tigers,123,102,37177.0,21,H,1.0
