id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
13315,north melbourne kangaroos,17,1991-07-13,1991,H,brisbane bears,5.2 10.6 10.8 15.13,103,4.0 5.2 11.4 14.6,90,W,13,Waverley Park,7239.0,15,13,14,6
13345,north melbourne kangaroos,1,1993-03-27,1993,H,brisbane bears,5.5 13.8 18.15 24.22,166,5.1 9.5 15.8 22.11,143,W,23,Melbourne Cricket Ground,8653.0,24,22,22,11
13359,north melbourne kangaroos,16,1993-07-18,1993,A,brisbane bears,9.3 14.6 17.11 22.14,146,3.4 6.6 12.9 15.14,104,W,42,The Gabba,9609.0,22,14,15,14
13400,north melbourne kangaroos,12,1995-06-25,1995,A,brisbane bears,8.2 11.6 16.11 20.13,133,3.3 4.5 7.10 13.11,89,W,44,The Gabba,11996.0,20,13,13,11
13606,melbourne demons,5,1987-04-26,1987,A,brisbane bears,5.1 8.1 10.3 12.9,81,1.3 6.8 8.12 12.14,86,L,-5,People First Stadium,7451.0,12,9,12,14
13630,melbourne demons,4,1988-04-22,1988,H,brisbane bears,6.9 10.11 10.13 13.18,96,1.1 2.4 3.9 5.11,41,W,55,Melbourne Cricket Ground,18908.0,13,18,5,11
13656,melbourne demons,4,1989-04-21,1989,H,brisbane bears,2.3 4.8 8.8 11.13,79,3.5 4.7 5.10 7.11,53,W,26,Melbourne Cricket Ground,17560.0,11,13,7,11
13694,melbourne demons,18,1990-08-04,1990,H,brisbane bears,2.4 9.8 9.12 10.13,73,3.1 4.1 8.3 9.6,60,W,13,Waverley Park,10890.0,10,13,9,6
13707,melbourne demons,7,1991-05-04,1991,H,brisbane bears,2.7 8.8 12.13 18.18,126,2.4 10.7 14.9 17.11,113,W,13,Melbourne Cricket Ground,14722.0,18,18,17,11
13721,melbourne demons,22,1991-08-18,1991,A,brisbane bears,2.4 7.6 9.9 15.13,103,2.2 5.8 8.10 13.13,91,W,12,The Gabba,6480.0,15,13,13,13
13749,melbourne demons,3,1993-04-11,1993,A,brisbane bears,2.1 5.2 15.9 17.11,113,3.6 8.10 12.10 17.13,115,L,-2,The Gabba,12821.0,17,11,17,13
13763,melbourne demons,18,1993-08-01,1993,H,brisbane bears,6.3 12.11 18.14 20.18,138,2.1 4.3 5.8 6.13,49,W,89,Melbourne Cricket Ground,15664.0,20,18,6,13
