match_id,season,round,match_date,venue,home_team,away_team,home_score,away_score,crowd,margin,result,home_win,home_form_win_rate_last3,home_form_avg_score_for_last3,home_form_avg_score_against_last3,home_form_avg_margin_last3,home_form_win_rate_last5,home_form_avg_score_for_last5,home_form_avg_score_against_last5,home_form_avg_margin_last5,home_form_win_rate_last10,home_form_avg_score_for_last10,home_form_avg_score_against_last10,home_form_avg_margin_last10,home_team_streak_entering_game,home_days_since_last_match,home_games_played_this_season,home_venue_experience,home_points_cum_prior,home_scored_cum_prior,home_conceded_cum_prior,home_percentage_prior,home_ladder_position_prior,home_h2h_win_rate_prior,home_h2h_games_played_prior,away_form_win_rate_last3,away_form_avg_score_for_last3,away_form_avg_score_against_last3,away_form_avg_margin_last3,away_form_win_rate_last5,away_form_avg_score_for_last5,away_form_avg_score_against_last5,away_form_avg_margin_last5,away_form_win_rate_last10,away_form_avg_score_for_last10,away_form_avg_score_against_last10,away_form_avg_margin_last10,away_team_streak_entering_game,away_days_since_last_match,away_games_played_this_season,away_venue_experience,away_points_cum_prior,away_scored_cum_prior,away_conceded_cum_prior,away_percentage_prior,away_ladder_position_prior,away_h2h_win_rate_prior,away_h2h_games_played_prior,form_win_rate_diff_last5,ladder_position_diff,rest_days_diff
19830416_FitzroyLions,1983,4,1983-04-16,Junction Oval,Fitzroy Lions,Sydney Swans,125,52,10738.0,73,H,1.0,0.6666666666666666,99.0,76.66666666666667,22.333333333333332,0.6666666666666666,99.0,76.66666666666667,22.333333333333332,0.6666666666666666,99.0,76.66666666666667,22.333333333333332,2.0,7.0,3,2,8,297,230,129.1304347826087,4.0,,0,0.3333333333333333,67.0,121.66666666666667,-54.666666666666664,0.3333333333333333,67.0,121.66666666666667,-54.666666666666664,0.3333333333333333,67.0,121.66666666666667,-54.666666666666664,-2.0,6.0,3,0,4,201,365,55.06849315068493,10.0,,0,0.3333333333333333,6.0,1.0
19830416_StKildaSaints,1983,4,1983-04-16,Waverley Park,St Kilda Saints,Geelong Cats,79,90,20826.0,-11,A,0.0,0.0,66.33333333333333,134.0,-67.66666666666667,0.0,66.33333333333333,134.0,-67.66666666666667,0.0,66.33333333333333,134.0,-67.66666666666667,-3.0,7.0,3,0,0,199,402,49.50248756218905,12.0,,0,1.0,100.33333333333333,72.33333333333333,28.0,1.0,100.33333333333333,72.33333333333333,28.0,1.0,100.33333333333333,72.33333333333333,28.0,3.0,7.0,3,1,12,301,217,138.70967741935485,2.0,,0,-1.0,-10.0,0.0
19830423_CollingwoodMagpies,1983,5,1983-04-23,Victoria Park,Collingwood Magpies,Hawthorn Hawks,73,95,28506.0,-22,A,0.0,0.0,100.0,113.0,-13.0,0.25,108.75,116.0,-7.25,0.25,108.75,116.0,-7.25,-3.0,7.0,4,1,4,435,464,93.75,4.0,,0,0.6666666666666666,112.66666666666667,68.33333333333333,44.333333333333336,0.75,117.25,79.25,38.0,0.75,117.25,79.25,38.0,-1.0,7.0,4,0,12,469,317,147.9495268138801,2.0,,0,-0.5,-2.0,0.0
19830423_CarltonBlues,1983,5,1983-04-23,Princes Park,Carlton Blues,Fitzroy Lions,65,125,25789.0,-60,A,0.0,0.6666666666666666,92.66666666666667,92.0,0.6666666666666666,0.75,103.5,88.0,15.5,0.75,103.5,88.0,15.5,2.0,7.0,4,1,12,414,352,117.61363636363636,3.0,,0,1.0,103.33333333333333,50.333333333333336,53.0,0.75,105.5,70.5,35.0,0.75,105.5,70.5,35.0,3.0,7.0,4,0,12,422,282,149.645390070922,1.0,,0,0.0,-2.0,0.0
19830424_SydneySwans,1983,5,1983-04-24,Sydney Cricket Ground,Sydney Swans,St Kilda Saints,160,137,11276.0,23,H,1.0,0.0,47.333333333333336,126.66666666666667,-79.33333333333333,0.25,63.25,122.5,-59.25,0.25,63.25,122.5,-59.25,-3.0,8.0,4,2,4,253,490,51.63265306122449,1.0,,0,0.0,63.666666666666664,130.66666666666666,-67.0,0.0,69.5,123.0,-53.5,0.0,69.5,123.0,-53.5,-4.0,8.0,4,0,0,278,492,56.50406504065041,2.0,,0,0.25,1.0,0.0
19830425_RichmondTigers,1983,5,1983-04-25,Melbourne Cricket Ground,Richmond Tigers,Western Bulldogs,114,116,51651.0,-2,A,0.0,0.0,83.0,113.33333333333333,-30.333333333333332,0.0,81.25,119.0,-37.75,0.0,81.25,119.0,-37.75,-4.0,9.0,4,1,0,325,476,68.27731092436974,6.0,,0,1.0,109.33333333333333,86.0,23.333333333333332,0.75,100.75,91.0,9.75,0.75,100.75,91.0,9.75,3.0,9.0,4,0,12,403,364,110.71428571428571,3.0,,0,-0.75,-3.0,0.0
19830425_GeelongCats,1983,5,1983-04-25,GMHBA Stadium,Geelong Cats,Melbourne Demons,110,121,28591.0,-11,A,0.0,1.0,95.0,73.66666666666667,21.333333333333332,1.0,97.75,74.0,23.75,1.0,97.75,74.0,23.75,4.0,9.0,4,1,16,391,296,132.09459459459458,1.0,,0,0.3333333333333333,96.0,103.33333333333333,-7.333333333333333,0.25,103.25,111.25,-8.0,0.25,103.25,111.25,-8.0,-2.0,9.0,4,0,4,413,445,92.80898876404494,5.0,,0,0.75,4.0,0.0
19830425_EssendonBombers,1983,5,1983-04-25,Waverley Park,Essendon Bombers,North Melbourne Kangaroos,128,123,47722.0,5,H,1.0,0.6666666666666666,109.33333333333333,94.66666666666667,14.666666666666666,0.5,109.5,98.75,10.75,0.5,109.5,98.75,10.75,1.0,9.0,4,0,8,438,395,110.88607594936708,4.0,,0,0.6666666666666666,118.33333333333333,78.66666666666667,39.666666666666664,0.75,113.75,80.75,33.0,0.75,113.75,80.75,33.0,2.0,9.0,4,1,12,455,323,140.86687306501548,2.0,,0,-0.25,-2.0,0.0
19830430_CollingwoodMagpies,1983,6,1983-04-30,Victoria Park,Collingwood Magpies,North Melbourne Kangaroos,130,108,28315.0,22,H,1.0,0.0,92.33333333333333,111.0,-18.666666666666668,0.2,101.6,111.8,-10.2,0.2,101.6,111.8,-10.2,-4.0,7.0,5,2,4,508,559,90.87656529516994,10.0,,0,0.6666666666666666,145.0,92.0,53.0,0.6,115.6,90.2,25.4,0.6,115.6,90.2,25.4,-1.0,5.0,5,0,12,578,451,128.15964523281596,5.0,,0,-0.39999999999999997,-5.0,2.0
19830430_CarltonBlues,1983,6,1983-04-30,Princes Park,Carlton Blues,Geelong Cats,85,95,25480.0,-10,A,0.0,0.6666666666666666,87.0,100.66666666666667,-13.666666666666666,0.6,95.8,95.4,0.4,0.6,95.8,95.4,0.4,-1.0,7.0,5,2,12,479,477,100.41928721174004,7.0,,0,0.6666666666666666,98.0,82.0,16.0,0.8,100.2,83.4,16.8,0.8,100.2,83.4,16.8,-1.0,5.0,5,0,16,501,417,120.14388489208633,3.0,,0,-0.20000000000000007,-4.0,2.0
