team,opponent,match_date,season,venue,is_home,team_score,opp_score,win,draw,margin,points
Adelaide Crows,Sydney Swans,1999-08-15,1999,Sydney Cricket Ground,False,41,159,0,0,-118,0
Adelaide Crows,Port Adelaide Power,1999-08-22,1999,AAMI Stadium,False,68,92,0,0,-24,0
Adelaide Crows,North Melbourne Kangaroos,1999-08-29,1999,AAMI Stadium,True,66,142,0,0,-76,0
Adelaide Crows,Western Bulldogs,2000-03-11,2000,AAMI Stadium,True,108,131,0,0,-23,0
Adelaide Crows,Collingwood Magpies,2000-03-19,2000,Melbourne Cricket Ground,False,92,103,0,0,-11,0
Adelaide Crows,Geelong Cats,2000-03-25,2000,AAMI Stadium,True,100,111,0,0,-11,0
Adelaide Crows,West Coast Eagles,2000-04-01,2000,WACA,False,73,187,0,0,-114,0
Adelaide Crows,Brisbane Lions,2000-04-08,2000,The Gabba,False,92,122,0,0,-30,0
Adelaide Crows,Hawthorn Hawks,2000-04-16,2000,AAMI Stadium,True,143,57,1,0,86,4
Adelaide Crows,Port Adelaide Power,2000-04-23,2000,AAMI Stadium,False,98,91,1,0,7,4
Adelaide Crows,St Kilda Saints,2000-04-29,2000,Marvel Stadium,False,108,68,1,0,40,4
Adelaide Crows,North Melbourne Kangaroos,2000-05-06,2000,AAMI Stadium,True,125,128,0,0,-3,0
Adelaide Crows,Essendon Bombers,2000-05-14,2000,Marvel Stadium,False,84,132,0,0,-48,0
Adelaide Crows,Melbourne Demons,2000-05-21,2000,AAMI Stadium,True,105,70,1,0,35,4
Adelaide Crows,Sydney Swans,2000-05-27,2000,AAMI Stadium,True,98,48,1,0,50,4
Adelaide Crows,Richmond Tigers,2000-06-02,2000,Marvel Stadium,True,121,112,1,0,9,4
Adelaide Crows,Fremantle Dockers,2000-06-11,2000,AAMI Stadium,True,145,72,1,0,73,4
Adelaide Crows,Carlton Blues,2000-06-17,2000,Princes Park,False,96,120,0,0,-24,0
Adelaide Crows,Western Bulldogs,2000-06-25,2000,Marvel Stadium,False,74,135,0,0,-61,0
Adelaide Crows,Collingwood Magpies,2000-07-02,2000,AAMI Stadium,True,147,109,1,0,38,4
Adelaide Crows,Geelong Cats,2000-07-08,2000,GMHBA Stadium,False,102,109,0,0,-7,0
Adelaide Crows,West Coast Eagles,2000-07-14,2000,AAMI Stadium,True,107,90,1,0,17,4
Adelaide Crows,Brisbane Lions,2000-07-23,2000,AAMI Stadium,True,78,115,0,0,-37,0
Adelaide Crows,Hawthorn Hawks,2000-07-29,2000,Melbourne Cricket Ground,False,67,98,0,0,-31,0
Adelaide Crows,Port Adelaide Power,2000-08-06,2000,AAMI Stadium,True,92,139,0,0,-47,0
Adelaide Crows,Sydney Swans,2001-04-01,2001,Sydney Cricket Ground,False,74,126,0,0,-52,0
Adelaide Crows,Melbourne Demons,2001-04-07,2001,AAMI Stadium,True,80,83,0,0,-3,0
Adelaide Crows,Port Adelaide Power,2001-04-15,2001,AAMI Stadium,True,88,153,0,0,-65,0
Adelaide Crows,Carlton Blues,2001-04-21,2001,Princes Park,False,62,53,1,0,9,4
Adelaide Crows,North Melbourne Kangaroos,2001-04-28,2001,AAMI Stadium,True,90,75,1,0,15,4
Adelaide Crows,Hawthorn Hawks,2001-05-06,2001,UTAS Stadium,False,91,104,0,0,-13,0
Adelaide Crows,Fremantle Dockers,2001-05-12,2001,AAMI Stadium,True,103,83,1,0,20,4
Adelaide Crows,Richmond Tigers,2001-05-18,2001,Melbourne Cricket Ground,False,120,92,1,0,28,4
Adelaide Crows,Brisbane Lions,2001-05-26,2001,The Gabba,False,127,122,1,0,5,4
Adelaide Crows,Geelong Cats,2001-06-03,2001,AAMI Stadium,True,66,55,1,0,11,4
Adelaide Crows,Western Bulldogs,2001-06-09,2001,AAMI Stadium,True,97,127,0,0,-30,0
Adelaide Crows,Essendon Bombers,2001-06-15,2001,Marvel Stadium,False,73,122,0,0,-49,0
Adelaide Crows,Collingwood Magpies,2001-06-30,2001,AAMI Stadium,True,97,99,0,0,-2,0
Adelaide Crows,West Coast Eagles,2001-07-07,2001,AAMI Stadium,True,64,51,1,0,13,4
Adelaide Crows,St Kilda Saints,2001-07-13,2001,Marvel Stadium,False,156,59,1,0,97,4
Adelaide Crows,Sydney Swans,2001-07-22,2001,AAMI Stadium,True,56,105,0,0,-49,0
Adelaide Crows,Melbourne Demons,2001-07-28,2001,Melbourne Cricket Ground,False,100,84,1,0,16,4
Adelaide Crows,Port Adelaide Power,2001-08-05,2001,AAMI Stadium,False,99,107,0,0,-8,0
Adelaide Crows,Carlton Blues,2001-08-11,2001,AAMI Stadium,True,106,53,1,0,53,4
Adelaide Crows,North Melbourne Kangaroos,2001-08-17,2001,Marvel Stadium,True,162,100,1,0,62,4
Adelaide Crows,Hawthorn Hawks,2001-08-26,2001,AAMI Stadium,True,91,53,1,0,38,4
Adelaide Crows,Fremantle Dockers,2001-09-01,2001,Domain Stadium,False,83,120,0,0,-37,0
Adelaide Crows,Carlton Blues,2001-09-08,2001,Melbourne Cricket Ground,False,50,118,0,0,-68,0
Adelaide Crows,Western Bulldogs,2002-03-31,2002,Marvel Stadium,False,112,93,1,0,19,4
